BaRT_ID;HORVU_ID
BaRT2v18chr7HG328650;HORVU.MOREX.r3.7HG0634720
BaRT2v18chr7HG337190;HORVU.MOREX.r3.7HG0651580
BaRT2v18chr7HG338560;HORVU.MOREX.r3.7HG0654850
BaRT2v18chr7HG339290;HORVU.MOREX.r3.7HG0656090
BaRT2v18chr7HG348840;HORVU.MOREX.r3.7HG0674530
BaRT2v18chr7HG351000;HORVU.MOREX.r3.7HG0678460
BaRT2v18chr7HG351350;HORVU.MOREX.r3.7HG0679370
BaRT2v18chr7HG354180;HORVU.MOREX.r3.7HG0685290
BaRT2v18chr7HG355430;HORVU.MOREX.r3.7HG0688310
BaRT2v18chr7HG359370;HORVU.MOREX.r3.7HG0698110
BaRT2v18chr7HG360060;HORVU.MOREX.r3.7HG0700030
BaRT2v18chr7HG363470;HORVU.MOREX.r3.7HG0707530
BaRT2v18chr7HG363520;HORVU.MOREX.r3.7HG0707780
BaRT2v18chr7HG363740;HORVU.MOREX.r3.7HG0708100
BaRT2v18chr7HG364110;HORVU.MOREX.r3.7HG0708730
BaRT2v18chr7HG364850;HORVU.MOREX.r3.7HG0710320
BaRT2v18chr7HG373480;HORVU.MOREX.r3.7HG0726450
BaRT2v18chr7HG379410;HORVU.MOREX.r3.7HG0737470
BaRT2v18chr7HG385800;HORVU.MOREX.r3.7HG0748860
BaRT2v18chr1HG002230;HORVU.MOREX.r3.1HG0004220
BaRT2v18chr1HG004020;HORVU.MOREX.r3.1HG0008290
BaRT2v18chr1HG008320;HORVU.MOREX.r3.1HG0017770
BaRT2v18chr1HG010930;HORVU.MOREX.r3.1HG0022710
BaRT2v18chr1HG014270;HORVU.MOREX.r3.1HG0031890
BaRT2v18chr1HG014590;HORVU.MOREX.r3.1HG0032990
BaRT2v18chr1HG014960;HORVU.MOREX.r3.1HG0033970
BaRT2v18chr1HG015020;HORVU.MOREX.r3.1HG0034230
BaRT2v18chr1HG016820;HORVU.MOREX.r3.1HG0038800
BaRT2v18chr1HG017500;HORVU.MOREX.r3.1HG0040570
BaRT2v18chr1HG017770;HORVU.MOREX.r3.1HG0040910
BaRT2v18chr1HG017980;HORVU.MOREX.r3.1HG0041280
BaRT2v18chr1HG018110;HORVU.MOREX.r3.1HG0041600
BaRT2v18chr1HG019290;HORVU.MOREX.r3.1HG0044640
BaRT2v18chr1HG019910;HORVU.MOREX.r3.1HG0046030
BaRT2v18chr1HG020650;HORVU.MOREX.r3.1HG0047660
BaRT2v18chr1HG021540;HORVU.MOREX.r3.1HG0049600
BaRT2v18chr1HG022030;HORVU.MOREX.r3.1HG0050630
BaRT2v18chr1HG024250;HORVU.MOREX.r3.1HG0054460
BaRT2v18chr1HG025370;HORVU.MOREX.r3.1HG0056440
BaRT2v18chr1HG030450;HORVU.MOREX.r3.1HG0064910
BaRT2v18chr1HG031540;HORVU.MOREX.r3.1HG0066900
BaRT2v18chr1HG031720;HORVU.MOREX.r3.1HG0067090
BaRT2v18chr1HG032480;HORVU.MOREX.r3.1HG0068010
BaRT2v18chr1HG033630;HORVU.MOREX.r3.1HG0069940
BaRT2v18chr1HG035510;HORVU.MOREX.r3.1HG0072860
BaRT2v18chr1HG035770;HORVU.MOREX.r3.1HG0073190
BaRT2v18chr1HG035940;HORVU.MOREX.r3.1HG0073380
BaRT2v18chr1HG036800;HORVU.MOREX.r3.1HG0074540
BaRT2v18chr1HG037540;HORVU.MOREX.r3.1HG0075730
BaRT2v18chr1HG037770;HORVU.MOREX.r3.1HG0076150
BaRT2v18chr1HG038830;HORVU.MOREX.r3.1HG0077680
BaRT2v18chr1HG039630;HORVU.MOREX.r3.1HG0079120
BaRT2v18chr1HG040410;HORVU.MOREX.r3.1HG0080170
BaRT2v18chr1HG043010;HORVU.MOREX.r3.1HG0084050
BaRT2v18chr1HG044370;HORVU.MOREX.r3.1HG0086360
